Name,CHINA LAKE NAVAL AIR WEAPONS STATION,CORONADO NAVAL AMPHIBIOUS BASE,EL CENTRO NAVAL AIR FACILITY,LEMOORE NAS,MONTEREY NAVAL POSTGRADUATE SCHOOL,NORTH ISLAND NAS,FLEET ANTISUBMARINE WARFARE TRAINING CENTER,POINT MUGU NAVAL AIR STATION,PORT HUENEME NAVAL CONSTRUCTION BATTALION CENTER,SAN DIEGO NAVAL MEDICAL CENTER,SAN DIEGO NS,SANTA CLARA NAVAL AIR RESERVE,NEW LONDON NAVAL SUBMARINE BASE,WASHINGTON NAVY YARD,CORRY STATION,JACKSONVILLE NAS,KEY WEST NAS,MAYPORT NAVAL STATION,US Naval Diving & Salvage Training Center,PENSACOLA NAS,PENSACOLA NAVAL HOSPITAL,WHITING FIELD NAS,KINGS BAY NAVAL SUBMARINE BASE,NAVAL COMPUTER TELECOMM AREA MSTR STATN,PEARL HARBOR NAVAL COMPLEX,GREAT LAKES NAVAL TRAINING CENTER,"NEW ORLEANS NAS, JOINT RESERVE BASE",NEW ORLEANS NAVAL SUPPORT ACTIVITY,BRUNSWICK NAS,WINTER HARBOR NAVAL SECURITY GROUP ACTIVITY,ANNAPOLIS NS,BETHESDA NATIONAL NAVAL MEDICAL CENTER,PATUXENT RIVER NAS,U.S. NAVAL ACADEMY,GULFPORT NAVAL CONSTRUCTION BATTALION CENTER,MERIDIAN NAS,FALLON NAS,PORTSMOUTH NAVAL SHIPYARD,EARLE NAVAL WEAPONS STATION,NEWPORT NAVAL EDUCATION AND TRAINING CENTER,BEAUFORT NAVAL HOSPITAL,NAVAL BASE CHARLESTON,Naval Support Activity Mid-South,CORPUS CHRISTI NAS,"FORT WORTH NAS, JOINT RESERVE BASE",KINGSVILLE NAS,"NAVAL SURFACE WARFARE CENTER, DAHLGREN DIVISION","DAM NECK FLEET COMBAT TRAINING CENTER, ATLANTIC",LITTLE CREEK NAVAL AMPHIBIOUS BASE,NORFOLK NB,NORFOLK NAVAL SHIPYARD,OCEANA NAS,PORTSMOUTH NAVAL MEDICAL CENTER,YORKTOWN NAVAL WEAPONS STATION,BANGOR NAVAL SUBMARINE BASE,BREMERTON NAVAL STATION,EVERETT NAVAL STATION,WHIDBEY ISLAND NAS
ANNAPOLIS NS,2772.937644940403,2854.541949460071,2776.615091237811,2862.2692287650907,2945.9190110528234,2855.762743661246,2855.6321062817196,2896.300568804434,2900.251206933435,2852.1977880214627,2853.0700409973347,2926.257495998654,404.21689148912014,715.4778776860388,1541.8285413931767,1333.7642564617604,1662.0958368698246,1314.3657008162227,1490.8484487885921,1543.4059152240543,1543.4059152240543,1514.8522973885279,1296.4300791780772,5303.117939892155,5306.46148780659,1127.0691518952192,1684.341331124911,1684.341331124911,225.5592660119312,128.09828371599937,0.0,714.2189142090444,717.6794993053967,689.294624322075,1619.7465723148114,1495.5134477916386,2705.0029486110916,283.95250064183546,537.1740873658051,367.3091481291857,1178.8964102586162,1121.164536163333,1434.8729748266198,2105.9252365299403,1891.1136883600811,2138.7278696722583,741.1970595879365,774.0168076032569,775.8480541874442,778.3107195772554,785.0505857922248,775.0402017480925,783.3859016408894,772.955033017264,2678.866550151103,2680.2551873665825,2651.192566082578,2664.0124493380094
BETHESDA NATIONAL NAVAL MEDICAL CENTER,2222.4150425665916,2267.6765076482184,2184.247837184605,2329.17811853896,2425.6851774043807,2269.2920724109836,2269.569492962873,2334.131984622388,2339.0373507092277,2265.812282097034,2266.066191289931,2415.56974232915,311.2141958587901,9.598830880728148,829.2265419998511,660.3790105188616,1032.044764254143,643.3029481352855,783.6589248730336,830.9049032384808,830.9049032384808,802.1493409419504,619.9249791214708,4825.521316488562,4827.286708711253,607.5695892340204,970.1404389783052,970.1404389783052,501.7523173588921,593.8068639475902,714.2189142090444,0.0,60.94018546007624,32.788004236003765,905.5280973217607,783.5941780161745,2209.527941710744,434.48540322489794,178.8894042797317,350.4187115960032,499.04123650085234,446.641254883213,746.8783963313444,1398.4128496663614,1213.4534165773664,1431.8858244026853,46.37103310954119,165.2961428836328,152.4996385626394,147.87312953810243,157.32212306380237,161.9699554376151,154.51180640639558,125.09586998176464,2333.6706745472407,2332.633233400646,2309.910144639359,2330.0800183745
PATUXENT RIVER NAS,2264.806565567618,2305.728827938201,2221.7622909842844,2373.1035890219778,2470.6254445587833,2307.3917531058455,2307.7209802156676,2375.013964482174,2380.01612707668,2303.930351505539,2304.1041123261375,2461.380825233165,314.0011439773888,51.410448797664934,824.9775511935021,633.3227907006974,996.5970630734888,615.3516053939852,773.369543917558,826.4831638282967,826.4831638282967,798.1103484827302,593.6400013599475,4871.191996363454,4872.833184716959,662.0539231401423,971.6835230548777,971.6835230548777,513.8988094066324,601.8567907081984,717.6794993053967,60.94018546007624,0.0,47.78422911257099,906.5550625500808,791.7063899030662,2257.0428128740004,444.8589289604823,182.5377846880631,350.41907939559354,472.959502833226,417.88370617670074,770.5870823004432,1408.872950886466,1237.6284843801911,1442.7572172675548,33.7268584246397,107.3314271633927,96.17634026158522,92.78050805390927,102.46911749652143,104.4655567124285,99.6765297836296,72.89460007886368,2389.7538430084555,2388.619173807828,2366.185671854498,2386.611538899951
U.S. NAVAL ACADEMY,2255.091801622361,2300.461985257901,2217.026310577764,2361.7355632797567,2458.1362385160246,2302.077942391014,2302.355752019811,2366.880694406663,2371.7825000046078,2298.5982880760153,2298.8515407488617,2447.9129660665767,285.2860436346021,28.790620215635972,852.7629418485614,673.5728674380745,1040.5895780758574,656.0002400141558,804.8123274752294,854.3784225255117,854.3784225255117,825.745364516038,633.4884991939102,4857.8504886185765,4859.632520155779,637.8112701700495,995.7832158101983,995.7832158101983,479.96476680315044,570.4795079254549,689.294624322075,32.788004236003765,47.78422911257099,0.0,930.9679135514162,811.1809906329424,2241.612323356604,411.82436796928715,152.2670248781201,323.7024208664942,512.5550426997609,458.63813438953997,778.1199900665036,1426.8654426959076,1244.8890847575874,1460.4548996302735,54.128709628349654,154.6270194492567,143.89308630089317,140.5646755129981,150.25323131948645,151.92613029322823,147.46009011007894,120.28254839133533,2362.694275171662,2361.718879066683,2338.8093467432655,2358.8034077635743
GULFPORT NAVAL CONSTRUCTION BATTALION CENTER,1687.0804721409284,1654.3390336334246,1567.5433814385476,1815.5832115300498,1925.8094264424922,1656.6149275830476,1657.7054598376274,1764.0185965515593,1770.3143023331947,1653.6391420394807,1652.595447386807,1934.1731717238856,1216.2037991355812,904.3670632972784,108.49621906142278,443.29991918385105,605.4313802723647,459.4764536539831,200.96973714969377,109.09693750176409,109.09693750176409,127.15415361719373,451.7544424528326,4262.1861658271555,4261.6853578528,828.0149822979115,65.38082707876882,65.38082707876882,1404.7101204544945,1498.5459977436392,1619.7465723148114,905.5280973217607,906.5550625500808,930.9679135514162,0.0,153.59247542382678,1780.5815930063557,1338.9089226443082,1083.2255985637682,1254.5972005494034,516.8751814580513,568.4949940913565,346.13801093379357,526.9906385473963,515.7900053492094,561.9970432619511,880.2996466267313,876.2952655699479,869.052854206843,864.4767852004716,860.4694003522744,873.7646373919089,861.2550840177804,862.5582692085225,2139.1639021330257,2134.5349504203296,2124.8231452696928,2153.3286035075134
MERIDIAN NAS,1669.6578215638124,1656.5000106141958,1569.4665732122119,1794.7235625378844,1903.150302262491,1658.6260357871818,1659.5104234695227,1756.2540719367382,1762.277239222056,1655.4756976739986,1654.7702668284162,1907.4362480980794,1094.5938051823803,783.5115527733567,167.40606566031548,438.65235529757376,691.7260326170746,449.6598526596868,235.1705948663069,170.13925782934672,170.13925782934672,157.8298961094468,432.8480928249703,4267.942362473164,4267.95076237164,675.6638883891446,205.97217574849876,205.97217574849876,1276.6687077998577,1372.0165848959657,1495.5134477916386,783.5941780161745,791.7063899030662,811.1809906329424,153.59247542382678,0.0,1740.3469404522339,1212.557798438739,962.468467100828,1134.0035855477868,462.28198717035616,504.43955892538304,205.84879048679318,617.5813353499248,512.5446536519689,651.7212577373853,763.074831350771,775.2147116884908,766.1056664071101,760.7982052533239,758.0780811225931,772.2032548158057,758.4711526029315,755.5772603353935,2060.3403550359885,2056.237299039032,2044.3162354252008,2071.8341923208354
FALLON NAS,264.97002941062027,472.4953503373417,486.2240421382347,226.30149730579674,258.1390460128922,470.72595976159334,468.48311636402457,364.6654889286347,362.29095734814524,469.20054470618055,472.80842266693793,226.41568380526476,2428.2728844832604,2216.262725617839,1875.1533758920198,2177.829710089625,2377.521337072466,2187.3978957682293,1963.7730262713624,1876.9765506507615,1876.9765506507615,1879.9729377635392,2167.835246851138,2618.70809501338,2620.8929747704506,1617.792610530626,1752.7246450602347,1752.7246450602347,2501.731507859784,2587.490600522133,2705.0029486110916,2209.527941710744,2257.0428128740004,2241.612323356604,1780.5815930063557,1740.3469404522339,0.0,2472.165637809597,2340.137035162108,2465.2086382489297,2167.2673698293206,2191.1567261586647,1602.287785261257,1470.0776648115623,1271.1738443614015,1453.2983067520295,2223.898271655569,2311.103198880321,2296.256535167304,2289.104007030044,2292.5560882318164,2306.781982778713,2291.1900122403135,2270.5283011080733,608.3592715597173,599.4615426306918,618.413546045357,647.8878233769756
PORTSMOUTH NAVAL SHIPYARD,2524.1755925143557,2595.88719856825,2516.243245866393,2618.9282980367175,2706.7447206337024,2597.219307689712,2597.199736783078,2644.66457611172,2648.9005041802125,2593.667135650363,2594.3732331221217,2689.878692919877,135.65695259458323,436.61316600764104,1263.7103143724555,1073.9725398282576,1421.6448404049256,1055.2968328205427,1216.5917736787173,1265.3849035581115,1265.3849035581115,1236.6345462316829,1035.154708779937,5084.296308080706,5087.113408956704,868.4876892824584,1403.1972517036247,1403.1972517036247,69.70239197869006,159.65730566585617,283.95250064183546,434.48540322489794,444.8589289604823,411.82436796928715,1338.9089226443082,1212.557798438739,2472.165637809597,0.0,262.3387286246893,111.78580444019337,915.3534618960771,858.8528527773573,1151.588026837416,1822.0448733430062,1609.7042082652824,1854.8119877291097,465.1356703389658,515.4662107405449,514.4724008295158,515.7296837475816,523.5647591307852,515.6845935958657,521.5330024720561,506.6052397062167,2494.1906062681865,2494.7703559733936,2467.6153091901097,2483.0365815154114
EARLE NAVAL WEAPONS STATION,2366.9745222476135,2421.329013083412,2339.0093560180985,2469.778865680236,2563.437949570276,2422.8531510916573,2423.032269451029,2481.946249770569,2486.6323195691225,2419.3432262980486,2419.747922253834,2550.904712417516,133.03356532862793,179.14912838056995,1004.6828381613136,813.3088194922623,1168.6858072689206,794.9211131743637,955.2162936879319,1006.2717540042721,1006.2717540042721,977.6949876415804,774.0997329674418,4958.818719467516,4960.947440571561,723.2081696533822,1148.0212196101072,1148.0212196101072,331.49472715934417,419.5904175813548,537.1740873658051,178.8894042797317,182.5377846880631,152.2670248781201,1083.2255985637682,962.468467100828,2340.137035162108,262.3387286246893,0.0,171.6268738233341,653.8719858914658,597.8700436862896,921.1563780400666,1577.1615055565323,1386.4129592271704,1610.5799814499887,204.13155987962278,260.0084846217979,256.7170761671457,257.0650392092515,265.54469974039085,259.52813679817035,263.2834002163495,245.76297733982335,2426.3911281277788,2425.9721104088685,2401.4553457426778,2419.870289872232
NEWPORT NAVAL EDUCATION AND TRAINING CENTER,2504.7889459103385,2567.4598813015377,2486.2989416425694,2603.722527058829,2694.5433564651535,2568.896566428248,2568.9839184883485,2622.5490211612873,2627.023057628866,2565.36404322487,2565.9084350882345,2679.796047410504,40.87250748806799,350.7741838249337,1175.0447175530524,971.3692415123455,1313.3939746492642,952.3489966741946,1123.5474313350303,1176.5876233932654,1176.5876233932654,1148.1166888460045,933.1999440271463,5082.353264781779,5084.838888917674,849.7868999401236,1319.4557146886189,1319.4557146886189,178.93742132227985,255.22446585293295,367.3091481291857,350.4187115960032,350.41907939559354,323.7024208664942,1254.5972005494034,1134.0035855477868,2465.2086382489297,111.78580444019337,171.6268738233341,0.0,814.4137352136637,757.1769653293434,1088.1876380735437,1748.2307980532255,1551.6617786608745,1781.5558140211538,374.6119484292977,411.0352701836202,411.4532551823487,413.38313609063897,420.63967416025116,411.6379555412031,418.7999654718736,406.6134383360176,2516.313571390006,2516.4681291809734,2490.396250379394,2507.1096821289148
