Job,Num_Positions
command_1,1
command_2,1
command_3,1
command_4,1
command_5,1
command_6,2
command_7,2
command_8,1
command_9,1
command_10,2
command_11,1
command_12,1
command_13,1
command_14,1
command_15,3
